price,color,likes,brand,material type,Percentage discount,Rate,Fit,Saling fast,in sale,category,sex
Now 182.63 ILS,Grey,665,The North Face,"Fleece: soft, cosy and insulating

Main: 100% Polyester.",(-40%),,Boxy fit,,1,Hoodies & Sweatshirts,Women
Now 251.91 ILS,BLACK,519,,"Sweatshirt fabric: soft and warm

Main: 100% Polyester.",(-20%),4.9,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 152.19 ILS,Khaki,999,,,(-19%),,Unisex style,,1,Hoodies & Sweatshirts,Women
Now 680.15 ILS,MULTI,627,Polo Ralph Lauren,"Sweatshirt fabric: soft and warm

Main: 84% Cotton, 16% Polyester.",(-40%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 125.95 ILS,STONE,3K,ASOS DESIGN,"Sweatshirt fabric: soft and warm

Main: 64% Cotton, 36% Elastane.",(-20%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 349.52 ILS,INDIGO BLUE,1K,,"Sweatshirt fabric: soft and warm

Main: 80% Cotton, 20% Polyester.",(-40%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 125.95 ILS,GREY,553,Reebok,"Sweatshirt fabric
Soft hand feel

Main: 70% Cotton, 30% Polyethersulfone.",(-20%),3.5,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 118.08 ILS,,,,,,4.5,,,1,Hoodies & Sweatshirts,Women
Now 81.35 ILS,Leopard,410,Loungeable,"Jacquard knit
Interwoven pattern for a print-like effect

Main: 50% Acrylic, 30% Polyester, 20% Polyamide.",(-54%),4.6,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 178.44 ILS,GREEN,5K,Reclaimed Vintage,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-19%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 220.42 ILS,BROWN,387,adidas Originals,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-30%),5.0,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 202.05 ILS,mono,3K,ASOS 4505,,(-14%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 238.79 ILS,GREY,2K,Nike,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-29%),4.1,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 223.04 ILS,Black,619,Nike,,(-34%),,Unisex style,,1,Hoodies & Sweatshirts,Women
Now 349.00 ILS,PINK/FLORAL,973,Tommy Jeans,"Main: 81% Cotton, 19% Polyester.",(-29%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 104.96 ILS,,,,,,3.7,,,1,Hoodies & Sweatshirts,Women
Now 131.20 ILS,PINK,423,adidas,"Soft sweatshirt fabric
Cosy fleece finish on reverse

Main: 100% Polyester.",(-50%),4.6,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 91.84 ILS,White,398,PUMA,"Main: 100% Cotton, Rib: 98% Cotton, 2% Elastane.",(-50%),3.5,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 293.89 ILS,wonder white,,adidas Originals,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-30%),,Relaxed fit,SELLING FAST,1,Hoodies & Sweatshirts,Women
Now 257.16 ILS,wonder taupe,635,adidas Originals,,(-24%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
